SMILES,frag_list,LogVP
CC(C)c1ccc(N)cc1,"[136.112, 94.065, 91.054, 136.112, 94.065, 136.112, 94.065, 136.112, 94.065, 136.112, 94.065, 147.092, 136.112, 94.065, 91.054, 136.112, 94.065, 91.054, 94.065, 91.054, 136.112, 136.112, 94.065, 136.112, 94.065, 136.112, 94.065, 147.091, 136.112, 94.065, 91.054, 136.112, 94.065, 91.054, 94.065, 91.054, 136.112, 136.112, 94.065, 121.088, 136.113, 94.066, 91.055, 94.065, 136.113, 91.055, 136.113, 94.066, 121.089, 94.065, 121.089, 105.034]",-1.0785
CCP(=S)(OCC)Sc1ccccc1,"[137.018, 126.998, 108.987, 126.998, 108.987, 137.018, 126.998, 108.987, 80.956, 126.998, 108.987, 80.956, 126.998, 108.987, 80.956, 80.956, 62.945, 126.998]",-3.4711
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,"[142.939, 199.001, 114.961, 96.951, 142.939, 114.961, 96.951, 114.961, 142.938, 215.032, 199.001, 322.976, 215.032, 199.001, 322.976]",-5.8239
COP(=S)(OC)SCN1N=Nc2ccccc2C1=O,"[142.993, 132.044, 260.981, 132.044, 142.993, 260.981, 142.993, 132.044, 104.049, 142.993, 132.044, 104.05, 142.993, 95.049, 105.034, 95.049, 105.045, 78.994, 95.049, 105.045, 77.039, 51.023, 95.049, 77.039, 51.023, 50.015, 95.049, 51.023, 50.015, 74.015]",-5.7959
COP(=O)(NC(C)=O)SC,"[142.993, 144.989, 143.995, 142.993, 124.982, 142.008, 142.993, 124.982, 142.009, 124.982, 142.992, 110.966, 124.982, 142.991]",-5.7696
Nc1cccc2ccccc21,"[144.081, 143.073, 155.06]",-2.3789
CCCOC(=O)NCCCN(C)C,"[144.102, 102.055, 147.113, 189.16, 144.102, 102.055, 189.16, 102.055, 144.102, 102.055, 189.16, 144.102, 102.055, 74.024, 144.102, 102.055, 74.024, 58.065, 102.055, 74.024, 58.065, 189.16, 144.102, 102.055, 189.16, 102.055, 144.102, 102.055, 189.16, 144.102, 102.055, 74.024, 144.102, 102.055, 74.024, 58.065, 102.055, 74.024, 58.065, 144.102, 102.055, 147.113]",-1.2612
CC(C)(C)C1CCC2(CC1)OC(CO2)CN(CCC)CC,"[144.138, 298.274, 100.112, 144.138, 100.112, 240.232, 298.274, 144.139, 298.274, 144.138, 100.112, 144.138, 100.112, 298.275, 144.138, 100.112, 72.081, 100.112, 144.138, 72.081, 100.112, 72.081, 144.138, 298.274, 144.138, 298.274, 144.138, 100.112, 144.138, 100.112, 298.274, 144.138, 100.112, 72.081, 100.112, 144.138, 72.081, 100.112, 72.081, 144.138, 144.138, 100.112, 240.232, 144.139, 100.112, 72.081, 100.112, 144.139, 72.081, 100.112, 72.081, 144.138, 100.112, 72.081, 58.066, 298.274, 144.138, 100.112, 144.138, 100.112, 72.081, 100.112, 144.138, 72.081, 144.138, 100.112, 298.274, 144.138, 100.112, 202.123]",-3.8928
COC1=NN(CSP(=S)(OC)OC)C(=O)S1,"[145.007, 85.04, 71.024, 85.04, 145.007, 71.024, 85.04, 71.024, 58.029, 85.04, 71.024, 58.029, 58.029, 85.04, 71.024, 58.029, 85.04, 71.024]",-5.4724
CNC(=O)Oc1cccc2ccccc21,"[145.065, 117.07, 155.06, 145.065, 117.07, 58.029, 145.065, 117.07, 155.06, 145.065, 117.07, 155.06, 145.065, 117.07, 155.06, 145.065, 117.07, 155.06, 145.065, 117.07, 155.06]",-5.8665
OC(=O)c1cc2ccccc2cc1,"[145.065, 155.06, 117.07, 129.07, 155.049, 145.065]",-5.1782
O=C1C=Cc2ccccc2O1,"[147.044, 103.054, 91.054]",-3.0088
CC(=O)C=Cc1ccccc1,"[147.08, 129.07, 128.062]",-1.9066
COC(=O)C(C)N(c1c(C)cccc1C)C(=O)Cc1ccccc1,"[148.112, 91.054, 294.149, 294.149, 208.133, 326.175, 148.112, 208.133, 91.054, 148.112, 91.054, 121.089, 148.112, 91.054, 121.089, 91.054, 148.112, 121.089, 91.054, 148.112, 121.089, 294.15, 208.133, 266.155, 294.149, 208.133, 266.154]",-5
CC(=O)Oc1ccccc1C(O)=O,"[149.023, 163.039, 181.049, 149.023, 163.039, 181.049, 149.023, 163.039, 121.028, 149.023, 163.039, 121.028, 149.023, 121.028, 65.038, 65.038, 121.028, 95.049, 65.038, 92.025, 95.049, 65.038, 92.025, 63.023, 63.023, 51.023, 65.038]",-4.5986
O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1,"[149.023, 167.034, 249.112]",-6.061
CC1(C)C(C1C=C(Cl)Cl)C(=O)OCc1cccc(c1)Oc1ccccc1,"[149.023, 167.034, 71.085, 149.023, 71.085, 167.034, 149.023, 71.085, 57.07, 149.023, 71.085, 57.07, 149.023, 121.028, 65.039, 149.023, 121.028, 65.039]",-7.6615
CCOC(=O)c1ccccc1C(=O)OCC,"[149.023, 177.055, 121.028, 177.054, 149.023, 65.038, 149.023, 177.055, 65.038, 149.023, 177.055, 121.028, 149.023, 121.028, 121.04, 149.023, 121.028, 121.04, 65.038, 149.023, 121.028, 65.039, 121.04, 121.028, 65.039, 53.002, 121.04, 65.039, 53.002, 67.989]",-2.6778
CCCCOC(=O)c1ccccc1C(=O)OCCCC,"[149.023, 205.086, 57.07, 149.024, 205.086, 57.07, 149.023, 57.07, 65.038, 149.024, 57.07, 121.028, 149.024, 121.028, 57.07, 149.024, 121.028, 65.039, 65.039, 149.024, 121.029, 65.039, 121.04, 121.028, 65.039, 53.002, 121.04, 65.039, 53.002, 53.998, 149.024, 121.029, 149.024, 121.029, 149.024, 205.087, 203.06, 149.024, 205.087, 203.06]",-4.6968
CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,"[149.024, 71.086, 167.034]",-6.8477
Cc1[n]c2ccccc2[s]1,"[152.017, 120.044, 110.06]",-1.5243
O=C1C2CCCC=2NC(=O)N1C1CCCCC1,"[153.066, 235.144, 136.039, 153.066, 235.144, 153.066, 153.066, 235.144, 83.085, 153.066, 83.085, 136.04, 153.066, 136.039, 135.055, 153.066, 136.039, 135.055, 153.066, 136.039, 135.055, 235.144, 153.066, 135.056, 153.066, 235.144, 83.086, 153.066, 83.086, 235.144, 153.066, 136.039, 135.055, 153.066, 136.039, 135.055, 153.066, 136.039, 135.055, 153.066, 153.066, 72.044, 133.007, 72.044, 153.066, 136.039, 153.066, 72.044, 133.007, 153.066, 72.044, 133.007]",-8.8239
CC1(C)CC(N)CC(C)(C1)CN,"[154.159, 171.185, 137.132, 154.16, 137.133, 95.086, 95.086, 81.07, 137.133, 154.16, 89.071, 107.061, 154.16, 89.071, 72.044]",-1.8239
CCOP(=O)(OCC)OCC,"[155.048, 127.016, 183.08, 127.016, 155.048, 128.021, 127.016, 98.984, 127.016, 155.047, 98.984, 127.016, 155.047, 98.984, 127.016, 155.047, 98.984, 127.016, 155.047, 98.984, 127.016, 116.995, 98.984, 116.995, 127.016, 98.984, 116.995, 80.974]",-0.4056
O=C(Nc1ccc(cc1)OC(F)(F)F)NC(=O)c1ccccc1Cl,"[156.021, 359.04, 138.994, 156.021, 138.994, 178.047, 138.994, 156.021, 113.015, 138.995, 156.021, 113.015, 138.995, 156.021, 129.01, 138.995, 139.005, 129.01]",-9.5229
CCOC(=O)C(O)(CC(=O)OCC)CC(=O)OCC,"[157.05, 133.049, 203.091]",-3.163
OC(=O)C1CC(=O)C(C(=O)C1)=C(O)C1CC1,"[157.05, 139.039, 207.065, 225.076, 69.034, 139.039, 225.076, 69.034, 111.044, 69.034, 111.044, 165.018, 69.034, 111.044, 85.028, 85.028, 69.034, 111.044, 85.028, 69.034, 99.008, 225.076, 69.034, 139.039, 225.076, 69.034, 111.044, 69.034, 111.044, 165.018, 69.034, 111.044, 85.028, 85.028, 69.034, 111.044, 85.028, 69.034, 99.008, 157.05, 139.039, 207.065]",-7.762
O=C(Nc1ccc(Cl)cc1)NC(=O)c1c(F)cccc1F,"[158.04, 311.039, 313.036, 158.04, 141.013, 159.044, 158.04, 141.014, 142.016, 141.014, 158.04, 140.031, 141.014, 158.04, 158.041, 141.014, 311.039]",-9.0458
O=C(Nc1cc(Cl)c(F)c(Cl)c1F)NC(=O)c1c(F)cccc1F,"[158.041, 141.014, 197.968, 380.981, 158.041, 158.041, 141.015, 158.041, 141.015, 195.961, 141.014, 158.041, 141.014, 141.026, 195.961, 141.014, 141.026, 195.96, 158.041, 380.981, 141.014, 158.041, 141.014, 197.968, 158.041, 141.014, 195.964, 141.014, 158.041, 195.965, 141.014, 195.964, 141.014, 141.025, 195.96, 158.041, 141.014, 197.968]",-11.2218
CON(C)C(=O)Nc1cc(Cl)c(Cl)cc1,"[159.972, 182.024, 249.019, 182.024, 159.972, 187.966, 249.019, 182.024, 159.971, 159.971, 182.024, 249.019, 159.972, 182.024, 160.979, 159.972, 160.979, 182.024, 132.961, 159.972, 160.979, 132.961, 160.979, 125.003, 249.019, 182.024, 159.971, 159.972, 182.024, 249.019, 159.972, 182.024, 160.979, 159.971, 160.979, 182.024, 132.961, 159.971, 160.979, 132.961, 160.979, 125.003, 182.024, 159.971, 187.966, 159.971, 182.024, 160.979, 132.961, 160.979, 125.003, 182.024, 159.971, 187.966, 182.024, 159.971, 187.966]",-5.8447
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,"[160.039, 178.05, 113.06, 160.039, 133.028, 178.05, 160.039, 133.029, 105.034, 160.039, 133.028, 105.034, 160.039, 133.029, 105.034, 133.028, 95.049, 105.034]",-6.3098
COC(=O)Nc1[nH]c2ccccc2[n]1,"[160.05, 192.077, 132.056, 192.077, 160.051, 59.013, 160.05, 192.077, 59.013, 160.05, 192.077, 132.055, 160.05, 132.056, 192.077, 160.05, 132.056, 92.049, 160.05, 132.056, 105.045, 105.045, 132.056, 65.039, 65.039, 105.045, 90.034, 65.039, 105.045, 90.034, 160.05, 133.064, 160.05, 133.063, 160.05, 160.05]",-9.1249
Nc1cc(Cl)c(Cl)cc1,"[161.987, 127.018, 172.967]",-2.1993
CCC(=O)Nc1cc(Cl)c(Cl)cc1,"[161.987, 218.013, 127.018, 218.013, 161.987, 127.018, 161.987, 218.013, 127.018, 161.987, 127.018, 218.013, 127.018, 161.987, 57.034, 127.018, 161.987, 57.034, 127.018, 161.987, 57.034]",-6.0419
COC(=O)c1ccccc1C(=O)OC,"[163.039, 195.065, 163.039, 133.028, 77.038, 163.039, 133.029, 135.044, 163.039, 135.044, 133.028, 163.039, 135.044, 133.029, 95.049, 77.039, 105.045, 92.026, 77.038, 95.049, 92.026, 63.023, 77.038, 63.023, 51.023, 64.031]",-2.5114
CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c1ccccc1,"[163.039, 251.071, 309.112, 251.07, 163.039, 183.08, 121.028, 163.039, 155.085, 163.039, 251.07, 147.081, 163.039, 251.07, 147.08]",-6.9355
CN1CCC[C@H]1c1c[n]ccc1,"[163.123, 132.081, 106.065, 163.123, 132.081, 106.065, 132.081, 163.123, 130.065, 132.081, 130.065, 106.065, 130.065, 117.057, 132.081, 130.065, 117.057, 132.081]",-1.4202
CN(/C=N/c1ccc(C)cc1C)/C=N/c1ccc(C)cc1C,"[163.123, 253.17, 163.123, 294.196, 253.169, 163.123, 253.17, 163.123, 253.169, 122.097, 163.123, 122.096, 132.081, 122.096, 163.123, 132.081, 107.073, 122.096, 105.07, 163.123, 294.196, 253.17, 163.123, 253.17, 163.123, 122.096, 253.17, 163.123, 122.096, 132.081, 122.096, 163.123, 107.073, 107.073, 105.07, 122.096, 163.123, 253.17]",-5.699
CC1(C)Cc2cccc(OC(=O)NC)c2O1,"[165.091, 222.112, 123.044, 165.091, 123.044, 222.112, 123.044, 165.091, 137.06, 123.044, 165.091, 137.06, 123.044, 91.054, 95.049, 123.044, 95.049, 91.054]",-5.3143
Nc1[n]c(NC2CC2)[n]c(N)[n]1,"[167.105, 168.107, 125.082, 167.105, 125.082, 168.107, 167.104, 125.082, 139.073, 151.073, 125.083, 127.072, 151.071, 167.104, 85.051, 60.056]",-8.4737
Cc1cc(ccc1)NC(=O)Oc1cc(ccc1)NC(=O)OC,"[168.065, 136.038, 169.068, 136.039, 168.065, 137.042, 136.038, 168.065, 137.042, 136.038, 137.042, 168.064, 136.039, 137.043, 168.065, 136.039, 168.065, 136.039, 136.039, 168.065, 108.044, 136.039, 108.044, 168.065, 136.039, 108.044, 93.033, 136.039, 108.044, 93.034, 65.039, 108.044, 121.04, 168.065, 136.039, 136.039, 168.065, 108.044, 136.039, 108.044, 168.065, 136.039, 108.044, 93.033, 136.039, 108.044, 121.04, 65.039, 108.044, 93.034, 168.065, 136.039]",-11
c1cccc2[nH]c3ccccc3c21,"[168.081, 115.017, 168.081, 141.07, 167.073]",-6.1249
c1ccccc1Nc1ccccc1,"[170.096, 93.057, 92.049, 170.096, 92.049, 93.057, 170.096, 93.057, 92.049, 170.096, 93.057, 92.049, 170.096, 93.057, 92.049, 93.057, 92.049, 170.096, 93.057, 92.049, 65.039]",-3.1739
