SMILES,frag_list,LogBP
CCCCN(CCCC)CCCC,"[186.221, 130.159, 74.096, 186.221, 130.159, 74.096, 186.222, 130.159, 74.096, 186.222, 130.159, 74.096, 130.159, 186.222, 57.07, 57.07, 130.159, 74.096]",2.335457901
CN1C(C)=CC(=O)N1c1ccccc1,"[189.102, 147.092, 56.05, 189.102, 131.073, 161.107, 189.102, 189.102, 161.107, 189.103, 161.107, 147.092, 189.102, 147.092, 161.107, 189.103, 104.05, 147.092, 106.065, 56.049, 104.049, 189.102, 189.102, 161.107, 174.078, 189.102, 161.107, 147.092, 189.102, 147.092, 161.107, 189.102, 104.049, 147.092, 106.065, 104.049, 56.05, 189.102, 131.073, 161.107, 189.102, 147.092, 161.108, 104.05, 189.102, 106.065, 189.102, 131.073, 161.107, 131.073, 161.107, 144.081, 142.061, 155.047, 183.087, 142.061, 155.047, 183.088]",2.503790683
Cc1cc(ccc1)C(=O)N(CC)CC,"[192.138, 193.141, 119.048, 119.049, 192.138, 193.141, 119.049, 120.052, 192.137, 119.049, 118.064, 120.051, 119.049, 192.138, 100.076, 119.049, 192.139, 100.076, 192.138, 119.049, 192.139, 119.049, 72.044, 119.049, 192.138, 100.076, 119.049, 192.138, 91.054, 119.049, 91.054, 119.061, 91.054, 119.049, 119.061, 192.138, 119.049, 176.107, 192.138, 119.049, 100.076, 119.049, 192.138, 72.044, 119.049, 192.138, 91.054, 119.049, 91.054, 119.06, 91.054, 119.049, 119.06, 119.049, 192.138, 100.076, 192.138, 119.049, 91.054, 119.049, 91.054, 72.045, 91.054, 65.039, 44.013, 119.049, 192.139, 91.055, 119.049, 91.054, 109.065, 119.049, 192.139, 100.076, 119.049, 100.076, 91.055, 77.039, 105.045, 95.049, 77.039, 105.045, 95.049, 77.039, 105.045, 77.039, 105.045]",2.462397998
Cc1c(c(NC(CC)CC)c(cc1C)[N+]([O-])=O)[N+]([O-])=O,"[214.071, 176.143, 212.067, 212.067, 71.085, 194.056, 212.067, 194.056, 71.085, 194.056, 212.067, 118.052, 91.042, 148.063, 119.06, 119.06, 91.042, 92.049, 92.049, 119.06, 65.039, 194.056, 148.063, 118.053, 119.06, 148.063, 92.049, 212.066, 194.056, 266.02, 212.067, 194.056, 266.019]",2.51851394
O=C(c1ccccc1)c1ccc(Cl)cc1,"[217.042, 138.994, 105.034, 138.994, 217.042, 105.034, 138.994, 105.034, 217.042, 138.994, 105.034, 139.006, 138.995, 139.006, 105.034, 139.006, 138.995, 129.01, 75.023, 139.006, 95.049, 75.023, 74.015, 139.006, 75.023, 74.015, 50.015]",2.521138084
Nc1ccc(cc1Cl)-c1cc(Cl)c(N)cc1,"[217.053, 218.061, 182.084, 217.053, 218.06, 182.084]",2.565847819
Nc1ccc(cc1)Sc1ccc(N)cc1,"[217.079, 124.022, 200.053, 124.022, 200.054, 217.08, 124.022, 199.046, 167.074, 217.08, 124.022, 200.054, 124.022, 200.054, 184.1]",2.557507202
O=S(=O)(c1ccccc1)c1ccccc1,"[219.048, 141.0, 95.049]",2.445604203
c1c(ccc2ccccc21)Nc1ccccc1,"[220.112, 143.073, 92.049, 220.112, 205.089, 143.073, 220.112, 143.073, 205.089]",2.597146488
COCCN(C(=O)CCl)c1c(C)cccc1C,"[224.084, 256.11, 226.081, 224.084, 226.081, 148.111, 148.111, 224.084, 226.081, 148.111, 133.087, 224.083, 148.111, 133.087, 118.064, 224.084, 148.112, 256.11, 224.084, 224.084, 256.11, 224.084, 256.11, 148.112, 224.084, 148.112, 132.081, 148.112, 224.084, 132.081, 148.112, 105.07, 132.081, 148.112, 105.07, 132.081, 224.084, 256.11, 173.015, 224.084, 256.11, 148.112, 224.084, 148.112, 132.081, 148.112, 224.084, 132.081, 148.112, 105.07, 132.081, 148.112, 105.07, 132.081, 224.084]",2.505149978
