SMILES,LogP,frag_list,LogWS
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1.07,"[303.05, 229.05, 153.018]",-2.42
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,4.03,"[271.169, 253.159, 199.112]",-4.84
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,4.03,"[253.158, 225.041, 213.125, 211.11, 197.095, 183.078, 159.078, 157.063, 133.064]",-4.84
CCCOC(=O)c1ccc(O)cc1,3.28,"[47.526, 121.028, 121.529, 139.038, 139.54]",-2.27
CCCOC(=O)c1ccc(O)cc1,3.28,"[46.517, 107.031, 136.016, 137.023, 179.071]",-2.27
O=c1[nH]cnc2[nH]ncc12,-0.83,"[137.046, 110.035, 94.04, 137.046, 110.035, 94.04, 137.046, 110.035, 94.04, 137.046, 110.035, 94.04, 137.046, 110.035, 94.04, 110.035, 137.046, 94.04]",-1.45
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,2.23,"[309.091, 281.072, 311.089]",-3.98
NC(=O)N1c2ccccc2C=Cc2ccccc21,2.1,"[237.102, 238.105, 194.096, 194.096, 237.102, 192.081, 194.096, 193.087, 195.099, 194.096, 193.088, 192.08, 193.088, 192.08, 165.069, 194.096, 220.075, 192.081, 237.102, 194.096, 192.081, 237.102, 194.096, 192.081, 194.096, 192.081, 237.102, 194.096, 192.081, 193.088, 194.096, 192.081, 193.088, 193.088, 194.096, 179.073, 237.102, 194.096, 192.081, 237.102, 194.096, 192.081, 194.096, 192.081, 237.102, 194.096, 192.081, 193.089, 194.096, 192.081, 193.088, 193.088, 194.096, 179.073, 194.096, 220.075, 192.081, 194.096, 220.076, 192.081, 194.096, 220.075, 192.081]",-3.19
NC(=O)N1c2ccccc2C=Cc2ccccc21,2.1,"[194.096, 192.081, 167.073, 165.07]",-3.19
O=C(O)COCCN1CCN([C@@H](c2ccccc2)c2ccc(Cl)cc2)CC1,2.98,"[201.047, 166.078, 389.163, 201.047, 187.108, 166.077, 389.162, 201.046, 187.107, 201.046, 187.107, 165.068, 201.046, 166.077, 165.07, 201.046, 166.077, 165.07, 166.077, 165.07, 201.046, 165.07, 166.077, 199.03, 389.162, 201.046, 187.107, 201.046, 187.108, 166.077, 201.046, 166.077, 165.07, 201.046, 166.077, 165.07, 166.077, 165.07, 201.046, 165.07, 166.077, 201.047, 201.046, 187.107, 166.077, 201.047, 166.078, 165.07, 166.078, 165.07, 201.047, 201.047, 166.078, 187.108, 201.047, 166.078, 187.108]",-3.77
O=C(O)COCCN1CCN([C@@H](c2ccccc2)c2ccc(Cl)cc2)CC1,2.98,"[389.163, 203.042, 202.05, 201.242, 201.046, 167.08, 166.077, 165.069]",-3.77
NS(=O)(=O)c1cc([C@]2(O)NC(=O)c3ccccc32)ccc1Cl,1.27,"[321.994, 243.021, 241.005, 321.994, 243.021, 241.005, 243.021, 241.005, 321.994, 243.021, 241.005, 185.015, 185.015, 152.062, 79.98, 150.047, 152.062, 79.98]",-3.81
CN(C)CCOC(c1ccccc1)c1ccccc1,3.44,"[296.07, 134.06, 198.022, 167.085, 88.076, 165.07, 167.085, 165.07, 88.076, 167.085, 165.07, 152.062, 167.085, 165.07, 152.062, 152.062, 165.07, 167.085, 165.07, 152.062, 166.078, 165.07, 152.062, 128.062, 165.07, 152.062, 115.054, 165.07, 115.054, 163.054, 167.086, 167.086]",-3.53
CN(C)CCOC(c1ccccc1)c1ccccc1,3.44,"[167.085, 166.078, 165.07, 153.066, 152.062, 141.069]",-3.53
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,2.37,"[158.117, 734.47, 576.385, 158.117, 576.374, 158.118, 159.12, 158.118, 576.375, 522.343, 716.458, 734.468, 158.118, 158.118, 83.049, 116.107, 83.049, 158.117, 116.107, 83.049, 83.049, 83.049, 734.468, 158.118, 158.118, 83.049, 116.107, 83.049, 158.117, 116.107, 83.049, 116.07, 116.107, 83.049, 72.081, 83.049, 576.374, 522.342, 716.458]",-3.2
CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,3.3,"[232.131, 233.134, 159.041, 159.041, 232.131, 187.072, 159.041, 160.044, 139.035, 159.041, 160.044, 147.034, 159.041, 139.034, 160.044, 232.131, 159.042, 187.073, 159.042, 187.073, 232.131, 159.042, 109.045, 187.073, 159.042, 109.045, 139.035, 159.042, 109.045, 139.035]",-4.03
Cc1c(OCC(F)(F)F)ccnc1C[S@@](=O)c1nc2ccccc2[nH]1,2.84,"[252.03, 119.06, 205.071, 252.03, 119.06, 205.071, 234.019, 119.06, 136.076, 136.076, 234.019, 119.06, 136.076, 119.06, 107.073, 107.073, 119.06, 136.076, 106.065, 108.081, 107.073, 106.065, 65.039, 92.049, 65.039, 106.065, 95.049]",-3.17
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,1.86,"[217.076, 215.06, 217.076, 190.065, 215.06, 217.076, 190.065, 215.06, 190.065, 217.076, 215.06, 190.065, 215.06, 216.068, 190.065, 215.06, 163.054, 163.054, 188.049, 190.065, 188.049, 163.054, 164.049, 63.023, 188.049, 87.023]",-3.55
c1ccc([C@H]2CN3CCSC3=N2)cc1,2.2,"[205.077, 206.08, 207.072, 205.076, 178.059, 206.079, 178.059, 205.076, 123.021, 178.059, 123.021, 130.058, 130.058, 128.054, 117.049, 178.069, 205.08, 145.076, 205.08, 205.08, 178.069, 91.054, 205.08, 178.069, 146.096, 205.08, 178.069, 146.097, 178.069, 205.079, 123.026, 178.069, 91.054, 123.026, 205.079, 205.079, 178.069, 205.079, 178.069, 146.096, 205.08, 178.069, 146.096, 178.069, 205.08, 123.026, 178.069, 91.054, 123.026, 178.069, 205.079, 145.076]",-2.15
COc1ccnc(C[S@](=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,2.11,"[138.055, 200.038, 153.078, 200.038, 138.055, 168.065, 200.038, 138.055, 384.082, 138.055, 200.038, 153.078, 138.055, 200.037, 107.073, 138.055, 200.038, 152.071, 138.055, 136.039, 152.07, 138.055, 136.039, 110.06, 200.038, 138.055, 384.082, 138.055, 200.037, 153.078, 138.055, 200.037, 122.06, 138.055, 200.037, 152.071, 138.055, 136.039, 152.071, 138.055, 136.039, 110.06, 200.038, 138.055, 168.065]",-2.89
C[C@@H](N)[C@@H](O)c1ccccc1,0.57,"[134.095, 117.069, 115.053]",-0.87
Nc1ccc(S(N)(=O)=O)cc1,-0.16,"[173.038, 156.012, 125.048]",-1.22
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,4.64,"[194.037, 413.12, 159.068]",-4.76
COC(=O)N=c1[nH]c2ccccc2[nH]1,1.4,"[160.05, 192.077, 132.056, 192.077, 160.051, 59.013, 160.05, 192.077, 59.013, 160.05, 192.077, 132.055, 160.05, 132.056, 192.077, 160.05, 132.056, 92.049, 160.05, 132.056, 105.045, 105.045, 132.056, 65.039, 65.039, 105.045, 90.034, 65.039, 105.045, 90.034, 160.05, 133.064, 160.05, 133.063, 160.05, 160.05]",-2.48
O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,5.1,"[314.985, 127.018, 161.987, 161.987, 128.026, 127.018, 314.985, 128.026, 161.987, 314.985, 161.987, 128.026, 161.987, 128.026, 127.018, 127.018, 93.057, 128.026, 127.018, 93.057, 126.01, 127.018, 93.057, 126.01, 314.985, 161.987, 128.026, 314.985, 161.987, 128.026, 161.987, 128.026, 127.018, 127.018, 93.057, 128.026, 127.018, 93.057, 126.01, 127.018, 93.057, 126.01, 161.987, 128.026, 127.018]",-5.04
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,2.57,"[229.086, 135.044, 119.049, 107.049, 135.044, 91.054, 107.049, 91.054, 165.07, 107.049, 91.054, 165.07]",-3.52
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.7,"[376.148, 378.145, 377.151, 376.14, 165.066, 377.144, 165.07, 123.023, 166.074, 165.071, 123.024, 166.074, 123.023, 165.07, 124.027, 376.148, 358.137, 165.071, 165.071, 376.148, 358.137, 165.071, 123.024, 358.137, 123.024, 165.071, 113.04, 123.024, 123.035, 165.071, 123.024, 123.035, 113.04, 123.035, 113.04, 123.024, 75.023, 123.035, 113.04, 75.023, 74.015, 123.035]",-4.93
COC(=O)/N=c1\[nH]c2ccc(C(=O)c3ccccc3)cc2[nH]1,2.91,"[296.103, 297.106, 264.077, 264.077, 296.103, 265.081, 264.077, 265.08, 296.104, 264.077, 265.08, 186.03, 264.078, 159.042, 160.05, 264.077, 296.103, 105.034, 296.103, 264.077, 264.077, 296.103, 105.033, 264.077, 105.034, 296.103, 264.077, 105.034, 95.049, 105.034, 264.077, 95.049, 105.034, 95.049, 105.045, 95.049, 105.045, 77.039, 105.045, 95.049, 77.039, 51.023, 50.015, 77.026]",-3.4
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,2.36,"[207.065, 321.133, 303.123, 303.123, 321.134, 303.123, 321.133, 207.065, 207.065, 303.123, 275.128, 207.065, 159.044, 195.065, 207.065, 159.044, 177.054, 159.044, 207.065, 91.054, 159.044, 103.054, 91.054, 303.123, 321.133, 207.065, 207.065, 303.123, 275.128, 207.065, 159.044, 195.065, 207.065, 159.044, 177.055, 159.044, 207.065, 91.054, 159.044, 103.054, 91.054, 303.123, 321.133, 275.127, 199.076, 199.075, 203.06, 265.009, 234.999, 203.06, 265.009, 234.999]",-3.96
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,2.36,"[159.042, 177.053, 207.064, 208.068, 241.598, 289.125, 312.128]",-3.96
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,2.01,"[282.08, 283.087, 227.05]",-4.18
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,2.07,"[324.16, 270.112, 282.113, 342.17, 342.17, 324.159, 267.126, 324.159, 270.112, 342.169, 267.125, 324.159, 270.112, 212.071, 267.125, 55.054, 212.071, 55.054, 161.059, 342.17, 324.16, 342.17, 324.159, 267.125, 324.159, 270.112, 342.17, 267.125, 324.159, 270.112, 212.071, 267.125, 228.102, 212.071, 55.054, 161.06, 324.159, 270.112, 282.112]",-2.05
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,2.61,"[305.141, 231.105, 124.056]",-3.62
CCC[S@](=O)c1ccc2[nH]/c(=N\C(=O)OC)[nH]c2c1,1.55,"[282.091, 240.044, 283.094, 240.043, 208.017, 222.033, 208.017, 191.068, 159.042, 159.042, 208.018, 190.007, 159.042, 191.014, 208.017]",-2.45
CCC[S@@](=O)c1ccc2[nH]/c(=N\C(=O)OC)[nH]c2c1,1.55,"[282.091, 240.044, 283.094, 240.043, 208.017, 222.033, 208.017, 191.068, 159.042, 159.042, 208.018, 190.007, 159.042, 191.014, 208.017]",-2.45
Cc1cc(=O)oc2cc(N)ccc12,1.58,"[176.071, 120.081, 117.057]",-2
Cc1cc(=O)oc2cc(N)ccc12,1.58,"[120.081, 117.057]",-2
COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,3.87,"[436.306, 534.39, 100.076, 73.065, 117.102, 73.065, 100.076, 209.117, 100.076, 79.054, 97.065, 100.076, 91.054, 79.054, 91.054, 94.041, 135.044]",-5.42
Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@H](O)C2,0.71,"[139.039, 163.039, 195.065]",-2.55
CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,-1.33,"[197.091, 285.18, 215.101, 138.054, 180.065, 198.076, 138.054, 120.043, 137.07, 138.054, 120.044, 137.07, 120.043, 138.056, 137.07, 197.092, 215.103, 268.154, 197.092, 285.181, 215.103, 138.055, 197.092, 180.066, 138.055, 94.065, 120.044, 138.055, 94.065, 120.045, 94.065, 120.044, 138.055, 94.065, 120.044, 92.049, 197.092, 285.181, 215.103, 138.055, 197.092, 180.066, 138.055, 94.065, 120.044, 138.055, 94.065, 120.044, 94.065, 120.044, 138.055, 94.065, 120.044, 92.049, 197.092, 215.103, 268.154]",-1.96
CC(=O)Oc1ccccc1C(=O)O,1.43,"[149.023, 163.039, 181.049, 149.023, 163.039, 181.049, 149.023, 163.039, 121.028, 149.023, 163.039, 121.028, 149.023, 121.028, 65.038, 65.038, 121.028, 95.049, 65.038, 92.025, 95.049, 65.038, 92.025, 63.023, 63.023, 51.023, 65.038]",-2.09
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,3.63,"[279.174, 159.08, 133.065, 107.049]",-4.64
Oc1cccc2cccnc12,1.91,[117.058],-1.54
O=C(O)Cc1c[nH]c2ccccc12,1.87,"[128.049, 130.064, 131.067, 176.069]",-2.1
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,4.11,"[285.187, 199.15, 303.197, 199.148, 285.186, 173.133, 199.148, 173.133, 225.164, 199.148, 173.133, 225.164, 143.086, 173.133, 145.101, 199.148, 285.185, 243.174, 199.148, 225.164, 173.132, 199.148, 173.132, 143.086, 143.086, 199.148, 173.132, 143.086, 131.085, 105.07, 143.086, 128.062, 105.07]",-4.22
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,1.4,"[233.092, 162.091, 177.066, 162.091, 177.066, 233.092, 162.091, 177.066, 105.033, 133.052, 144.081, 91.054, 133.052, 91.054, 106.065, 133.052, 91.054, 106.065, 104.049, 91.054, 89.038, 104.049, 91.054, 89.038, 104.049, 95.049, 65.038]",-2.93
CCCc1cc(=O)[nH]c(=S)[nH]1,0.97,"[171.06, 172.063, 154.033, 171.06, 154.033, 172.064, 154.034, 171.061, 142.019]",-2.27
CCCc1cc(=O)[nH]c(=S)[nH]1,0.97,"[112.075, 133.053, 162.544]",-2.27
CCCc1cc(=O)[nH]c(=S)[nH]1,0.97,"[28.987, 58.973, 114.507]",-2.27
Cn1c(=O)c2[nH]cnc2n(C)c1=O,-0.26,"[181.072, 124.05, 142.061, 181.072, 124.05, 96.056, 181.072, 124.051, 96.056, 181.072, 124.051, 96.056, 181.072, 124.051, 96.056, 124.051, 181.072, 96.056, 124.051, 96.056, 69.045, 69.045, 124.051, 96.056, 69.045, 96.056, 109.027, 69.045, 54.021, 109.027, 69.045, 54.021, 67.029]",-0.9
NCc1ccccc1,0.9,"[108.081, 91.054, 67.054]",-1.04
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,2.45,"[271.06, 153.018, 215.07, 271.06, 271.06, 153.018, 243.065, 271.06, 215.07, 153.018, 153.018, 271.06, 215.07, 91.054, 153.018, 141.07, 91.054, 65.039, 153.018, 65.039, 91.054, 115.054, 65.039, 115.054, 68.997, 65.039, 68.997, 63.023, 271.06, 215.07, 243.065, 91.054, 153.018, 141.07, 271.06, 153.018, 215.07, 153.018, 215.07, 243.065]",-3.08
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,2.45,"[141.069, 153.017, 161.04, 183.061, 215.069, 219.066, 233.064, 271.06, 272.063]",-3.08
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,2.45,"[132.021, 133.029, 134.037, 147.044, 180.05, 269.045, 270.048, 270.55]",-3.08
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,3.67,"[270.08, 296.095, 244.063, 327.137, 192.068, 327.138, 270.079, 84.081, 270.079, 296.095, 84.081, 270.079, 192.068, 227.037, 192.069, 270.079, 227.037, 192.068, 226.029, 227.037, 327.138, 192.069, 270.08, 327.137, 270.079, 84.081, 270.08, 84.081, 296.095, 270.079, 192.068, 227.037, 192.068, 270.079, 227.037, 192.068, 226.029, 227.037, 270.079, 296.095, 244.064]",-3.25
COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,1.58,"[302.178, 303.181, 304.183, 302.178, 303.18, 245.118, 302.177, 199.076, 303.18, 199.077, 201.092, 302.177, 199.077, 171.081, 158.073, 302.175, 199.075, 302.175, 245.117, 227.107, 302.175, 245.117, 199.075, 199.075, 201.091, 302.175, 199.075, 171.081, 201.091, 171.081, 141.07, 199.075]",-2.1
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,0.19,"[377.207, 234.149, 117.07]",-3.25
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,-0.6,"[321.136, 277.146, 303.124, 321.136, 234.104, 257.14, 321.136, 234.104, 206.073, 321.136, 250.062, 206.073, 250.062, 232.052, 204.057, 204.057, 250.062, 232.052]",-1.88
CNC[C@H](O)c1ccc(O)c(O)c1,-0.82,"[166.086, 135.044, 148.076, 166.086, 135.044, 107.049, 166.086, 107.049, 135.044, 107.049, 151.063, 166.086, 107.049, 151.063, 123.044, 107.049, 123.044, 79.054]",-0.99
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,2.67,"[297.187, 298.19, 279.176, 149.096, 279.176, 297.186, 149.096, 121.065, 147.08, 121.065, 149.096, 147.08, 121.065, 128.062, 115.054, 279.174, 149.096, 185.096, 297.185, 279.175, 149.096, 297.185, 149.096, 279.174, 121.101, 149.096, 93.07, 93.07, 121.065, 121.101, 93.07, 121.065, 105.07, 91.054, 105.07, 79.054, 297.185, 279.174, 149.096, 297.185, 149.096, 279.174, 149.096, 121.101, 93.07, 93.07, 121.065, 121.101, 93.07, 121.065, 105.07, 91.054, 79.054, 93.07, 279.174, 149.096, 185.096]",-4.64
Cc1cccc(Nc2ccccc2C(=O)O)c1C,4.58,"[224.105, 242.116, 241.108, 224.103, 225.108, 223.095, 224.103, 209.079, 225.102, 209.08, 208.066, 180.073, 180.078, 208.073, 209.075, 224.107, 209.084, 242.118, 224.107, 223.099, 242.118, 224.107, 241.11, 224.107, 242.117, 223.1, 224.107, 209.083, 223.1, 224.107, 209.083, 208.076, 209.084, 224.107, 208.076, 209.083, 180.081, 208.076, 242.118, 224.107, 241.11, 224.107, 242.118, 223.099, 224.107, 209.083, 223.099, 224.107, 209.084, 208.076, 209.083, 224.107, 208.076, 209.084, 180.081, 208.076, 224.107, 223.099, 224.107, 209.084, 222.092, 209.084, 224.107, 180.081, 224.107, 224.107]",-4.25
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,3.89,"[326.089, 328.085, 327.091, 326.089, 327.091, 291.119, 326.089, 291.119, 328.086, 291.12, 209.065, 249.084, 249.085, 223.081, 209.065, 326.086, 291.115, 325.077, 326.086, 291.117, 244.033, 291.117, 326.086, 244.033, 291.117, 249.082, 209.064, 291.117, 249.083, 209.064, 249.082, 222.071, 209.064]",-4.52
O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,1.95,"[282.088, 268.085, 236.095, 282.087, 282.087, 236.094, 268.084, 236.094, 282.087, 268.084, 236.094, 180.081, 207.092, 180.081, 207.092, 236.094, 180.081, 207.092, 190.065, 152.062, 180.081, 190.065, 152.062, 163.054, 169.065, 152.062, 169.065, 150.046]",-3.97
COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,1.04,"[316.156, 317.159, 298.145, 298.146, 316.157, 299.149, 298.146, 256.135, 241.112, 241.111, 256.135, 298.145, 212.109, 241.112, 226.088]",-1.75
COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,0.53,"[156.012, 281.072, 126.066]",-2.95
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,0.53,"[156.012, 108.045, 68.049]",-2.65
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C,1.04,"[156.012, 113.072, 108.046]",-3
Clc1ccccc1CN1CCc2sccc2C1,4.25,"[264.061, 154.042, 125.015, 154.042, 264.061, 125.015, 125.015, 154.042, 264.061, 125.015, 154.042, 89.038, 125.015, 154.042, 89.038, 125.015, 89.038, 99.0]",-4.08
Nc1ccc(O)c(C(=O)O)c1,0.75,"[136.039, 154.05, 108.044]",-1.1
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,1.45,"[400.168, 401.171, 358.159, 400.168, 358.158, 310.109, 282.115, 310.109, 295.087, 267.092, 283.087, 311.085]",-3.89
O=[N+]([O-])/N=C1/NCCN1Cc1ccc(Cl)nc1,0.65,"[256.059, 175.097, 209.058, 175.097, 209.058, 211.055, 175.097, 209.058, 211.055, 175.097, 209.058, 211.055, 209.058, 173.081, 175.096, 209.059, 175.098, 256.06, 209.059, 210.067, 175.098, 256.06, 209.059, 210.067, 209.059, 175.098, 212.058, 175.098, 209.059, 128.026, 175.098, 209.059, 174.09, 209.059, 175.098, 173.082, 209.059, 175.098, 173.082, 256.059, 209.059, 175.098, 209.059, 175.098, 212.058, 175.098, 209.059, 84.056, 175.098, 209.059, 174.09, 209.059, 175.098, 173.082, 209.059, 175.098, 173.082, 209.059, 210.067, 175.098]",-2.87
CS(=O)(=O)c1cc(C(F)(F)F)ccc1C(=O)c1cnoc1C1CC1,2.75,"[250.998, 360.051, 283.025, 250.999, 283.025, 69.034, 250.999, 220.988, 219.98, 250.999, 219.98, 189.016, 219.98, 160.013, 250.999, 132.018, 163.99, 101.02, 125.02, 101.02, 143.011, 75.023, 125.02, 143.011, 75.023, 74.015, 63.023]",-3.88
CCN1CCC[C@@H]1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,1.5,"[370.181, 242.048, 371.183, 370.181, 371.183, 242.048, 242.048, 370.181, 243.051, 196.006, 242.048, 243.051, 196.006, 242.048, 214.016, 242.048, 112.112, 155.118, 370.18, 242.05, 277.177, 370.18, 242.048, 112.112, 242.048, 112.112, 370.181, 242.048, 196.006, 112.112, 196.006, 242.048, 112.112, 196.006, 149.047, 168.011, 370.18, 242.05, 196.007, 370.18, 242.048, 112.112, 242.048, 112.112, 370.18, 242.048, 196.006, 112.112, 196.006, 242.048, 112.112, 196.006, 149.047, 168.011, 242.048, 112.112, 155.118]",-3.1
Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,4.51,"[530.191, 289.108, 307.119, 289.108, 530.191, 307.119, 261.113, 289.108, 260.106, 259.098, 261.113, 260.106, 259.098, 246.09, 261.113, 259.098, 245.082, 246.09, 244.074, 259.098, 104.049, 257.082, 244.074, 104.049, 63.023, 75.023, 89.039]",-5.42
NC(=O)CN1CCCC1=O,-1.58,"[98.06, 126.055, 70.065, 98.06, 126.055, 70.065, 98.06, 126.055, 70.065, 98.06, 70.065, 126.055, 98.06, 70.065, 69.034, 98.06, 70.065, 69.034]",0.53
O=S(=O)(O)c1ccc2ccccc2c1,-0.38,"[128.062, 191.016, 145.065, 209.027, 128.062, 191.016, 128.062, 209.027, 155.06, 128.062, 155.06, 145.065, 128.062, 155.06, 103.054, 128.062, 155.06, 103.054, 128.062, 155.06, 127.054, 209.026, 128.062, 155.06, 128.062, 209.026, 155.06, 128.062, 155.06, 145.065, 128.062, 155.06, 145.065, 128.062, 155.06, 127.054, 128.062, 155.06, 127.054, 128.062, 191.016, 145.065]",-2.8
C[C@@]12CC3CC(N)(C1)C[C@](C)(C3)C2,3.31,"[163.148, 180.175, 107.085, 163.148, 180.175, 107.085, 163.148, 180.175, 107.085, 163.148, 107.085, 180.175, 163.148, 107.085, 93.07, 107.085, 163.148, 93.07, 107.085, 91.054, 93.07, 91.054, 107.086, 105.07, 91.054, 65.039, 79.054, 91.054, 65.039, 95.049]",-3.6
C[C@@H]1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,2.04,"[262.09, 244.078, 263.096, 202.03, 220.04, 238.051, 174.034, 202.029, 220.04, 262.087, 244.077, 220.04, 262.087, 244.077, 262.087, 244.077, 276.103, 244.077, 262.087, 202.03, 244.077, 262.087, 202.03, 202.03, 220.041, 244.077, 220.041, 202.03, 174.035, 154.04, 126.034, 146.04, 99.023, 100.018, 75.023, 99.023, 100.018, 98.015]",-1.97
CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,0.61,"[338.151, 296.14, 235.124, 338.151, 296.14, 235.124, 195.093, 235.124, 296.14, 148.056, 163.066, 191.098, 148.056, 135.048, 136.056, 148.056, 135.048, 136.056]",-2.37
CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,5.02,"[464.291, 418.286, 145.102]",-5.36
NCCc1ccccc1,1.41,"[122.097, 123.1, 105.071]",-1.74
NCCc1ccccc1,1.41,"[105.07, 79.054, 95.049, 77.039, 103.054]",-1.74
C[C@H](N)[C@@H](O)c1ccccc1,0.57,"[134.096, 117.07, 115.054, 134.096, 117.07, 115.054, 134.096, 117.07, 115.054, 117.07, 134.096, 115.054, 115.054, 117.07, 91.054, 115.054, 91.054, 117.07]",-0.87
O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,2.98,"[389.163, 391.16, 201.046, 201.046, 203.042, 202.049, 201.046, 203.042, 202.049, 201.046, 166.077, 165.069, 166.077, 165.069, 201.046]",-3.77
CC(=O)Nc1c(I)c(C(=O)O)c(I)c(C(=O)NCCO)c1I,1.36,"[583.735, 516.875, 498.864, 583.736, 455.822, 428.837, 301.931, 272.928, 455.823, 301.931, 273.936, 455.823, 301.931, 273.936, 257.941, 273.936, 301.931, 257.941, 105.021, 273.937, 131.037, 583.735, 455.822, 428.835, 301.931, 272.928, 455.823, 301.931, 273.936, 455.822, 301.931, 273.936, 257.941, 301.931, 273.936, 231.925, 105.021, 273.936, 257.941, 583.735, 516.875, 498.865]",-3.39
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.71,"[81.034, 53.039, 205.01, 252.997, 254.994, 176.989, 81.034, 98.984, 176.989, 81.034, 98.984, 98.984, 81.034, 98.984, 81.033, 98.984, 81.033, 98.984, 81.033, 195.948, 81.033, 98.984, 252.997, 98.984, 81.033, 262.989, 98.984, 81.033, 98.984, 81.033, 98.984, 81.033, 98.984, 81.034, 252.997, 254.994, 176.989, 272.938, 244.944, 272.939, 244.943]",-3.45
CN1CCCC1=O,-0.72,"[100.076, 58.029, 69.034]",0.93
CN1CCCC1=O,-0.72,"[58.028, 63.531, 84.555]",0.93
Cc1cc(=O)n(-c2ccccc2)n1C,1.01,"[189.102, 147.092, 56.05, 189.102, 131.073, 161.107, 189.102, 189.102, 161.107, 189.103, 161.107, 147.092, 189.102, 147.092, 161.107, 189.103, 104.05, 147.092, 106.065, 56.049, 104.049, 189.102, 189.102, 161.107, 174.078, 189.102, 161.107, 147.092, 189.102, 147.092, 161.107, 189.102, 104.049, 147.092, 106.065, 104.049, 56.05, 189.102, 131.073, 161.107, 189.102, 147.092, 161.108, 104.05, 189.102, 106.065, 189.102, 131.073, 161.107, 131.073, 161.107, 144.081, 142.061, 155.047, 183.087, 142.061, 155.047, 183.088]",-0.48
