SMILES,LogP,frag_list,LogWS
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,3.42,"[97.065, 123.08, 166.106, 214.134, 224.154, 285.221, 306.227, 356.235, 387.253, 387.755]",-5.24
CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,3.67,"[372.098, 404.124, 373.101, 372.098, 373.101, 344.103, 344.103, 372.098, 329.079, 329.079, 344.103, 330.082, 329.079, 183.054, 172.038, 372.098, 344.103, 329.079, 372.098, 372.097, 404.123, 372.098, 344.103, 316.107, 329.079, 344.103, 372.097, 329.079, 183.055, 328.071, 172.039, 156.044, 200.034, 172.039, 156.044, 130.04, 372.098, 404.123, 172.04, 372.098, 344.103, 316.108, 329.079, 344.103, 372.098, 329.079, 183.055, 328.071, 172.039, 156.044, 200.034, 172.039, 156.044, 130.04, 372.098]",-4.82
CC[C@@H](C)OC(=O)N1CCCC[C@@H]1CCO,2.19,"[130.123, 112.112, 156.102, 130.123, 112.112, 95.086, 130.123, 95.086, 112.113, 130.123, 174.113, 156.102, 130.123, 174.113, 156.102]",-0.96
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)/N=C(\O)NC2CCCCC2)cc1,3.81,"[169.005, 369.067, 304.074]",-5.33
Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,-1.82,"[130.041, 101.006, 248.05, 130.041, 101.005, 73.011, 130.041, 101.006, 73.011, 130.041, 73.011, 101.006, 130.041, 113.014, 73.011, 130.041, 113.014, 87.035]",-0.44
Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,-1.82,"[130.041, 113.015, 101.005, 87.035]",-0.44
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,2.47,"[361.179, 406.188, 451.692]",-3.92
N=C(N)NCCCCN,-1.01,"[131.129, 114.103, 132.132]",-1.56
CCCCCCCCCCCCOS(=O)(=O)O,1.77,"[48.479, 265.147, 266.15, 267.144]",-4.37
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,2.27,"[360.968, 487.872, 233.056, 360.968, 293.9, 360.968, 233.056, 192.053, 233.055, 192.053, 360.968, 233.056, 148.039, 192.053, 148.039, 233.055, 192.053, 148.039, 146.047, 180.052, 360.968, 325.954, 233.055, 360.968, 233.055, 192.053, 233.055, 192.053, 360.968, 233.055, 148.039, 192.053, 148.039, 233.055, 192.053, 148.039, 192.053, 118.052, 360.968, 487.872, 233.055]",-3.76
NC(=O)N1c2ccccc2CC(=O)c2ccccc21,1.76,"[210.093, 180.081, 91.054]",-3.2
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1,1.89,"[392.204, 436.195, 548.248, 392.205, 393.208, 394.204, 392.204, 241.102, 156.012, 156.012, 241.102, 392.202, 156.012, 129.071, 157.015, 392.2, 113.06, 69.034, 69.034, 156.011, 113.06, 69.034, 156.011, 67.054, 156.011, 108.044, 92.049, 108.044, 92.049, 110.06, 92.049, 108.044, 110.06]",-3.91
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,5.11,"[278.013, 243.044, 296.024, 278.013, 243.044, 242.037, 243.044, 278.013, 242.037, 243.044, 242.037, 278.013, 243.045, 242.037, 180.081, 180.081, 242.037, 208.076, 178.065, 179.073, 180.081, 178.065, 152.062, 169.065, 150.046, 169.065, 152.062]",-4.91
CC(C)(C(=O)O)c1ccc([C@@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,5.02,"[502.295, 484.285, 466.273, 466.274, 484.285, 502.295, 171.117, 466.274, 131.085, 171.117, 131.086, 91.054, 91.054, 171.117, 131.086, 91.054, 129.07, 128.062]",-5.28
CC[C@H](C(N)=O)N1CCCC1=O,-0.64,"[126.092, 154.087, 127.095, 126.092, 127.095, 154.086, 126.092, 127.095, 126.091, 127.095, 126.092, 154.086, 126.091, 126.091, 154.086, 171.113, 126.091, 154.086, 171.113, 126.091, 154.086, 69.034, 126.091, 69.034, 98.097, 126.091, 69.034, 98.096, 126.091, 69.034, 98.096, 126.091, 154.086, 171.113, 126.091, 154.086, 171.113, 126.091, 154.086, 98.096, 126.091, 98.096, 69.034, 126.091, 69.034, 98.096, 126.091, 69.034, 98.096, 154.086, 126.091]",0.24
CCCCCCCCCCCC[N+](C)(C)[O-],2.23,"[230.248, 58.065, 62.06]",-6.18
CCCCCCCCCCCC[N+](C)(C)[O-],2.23,"[58.064, 128.142, 205.209, 212.236, 213.24, 230.247, 231.25, 231.752]",-6.18
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,2.28,"[352.041, 353.045, 115.028, 141.006, 115.028, 352.039, 141.006, 115.028, 142.008, 141.006, 115.028, 152.994, 141.006, 115.028, 152.995]",-3.36
CN1CCC[C@H]1c1cccnc1,0.87,"[163.123, 132.081, 106.065, 163.123, 132.081, 106.065, 132.081, 163.123, 130.065, 132.081, 130.065, 106.065, 130.065, 117.057, 132.081, 130.065, 117.057, 132.081]",-0.24
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[C@H]1O,2.01,"[241.053, 287.058, 269.048, 269.048, 241.053, 166.005, 287.058, 269.048, 104.05, 269.048, 287.058, 241.053, 241.053, 269.047, 231.068, 241.053, 104.05, 231.069, 241.053, 104.049, 163.006, 104.049, 241.053, 163.006, 287.058, 269.048, 241.053, 287.058, 269.048, 241.053, 241.053, 269.048, 231.068, 241.053, 104.049, 231.068, 241.053, 104.049, 163.006, 104.049, 241.053, 163.006, 269.048, 241.053]",-3.51
Oc1ccc(Cl)cc1,2.37,"[129.01, 97.028, 85.028, 129.01, 69.034, 55.018, 129.01, 69.034, 94.041, 69.034, 129.01, 94.041, 69.034, 94.041, 65.039, 94.041, 65.039, 69.033]",-0.96
CCCCN,0.85,"[57.07, 74.097, 53.002]",0.04
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-1.21,"[136.062, 268.104, 133.05, 136.062, 268.104, 133.05, 136.062, 85.028, 57.033, 136.062, 119.035, 137.046, 136.062, 119.035, 137.046, 136.062, 119.035, 137.046]",-1.28
CN(C)CCO[C@](C)(c1ccccc1)c1ccccn1,2.9,"[182.096, 271.18, 90.091, 182.096, 90.091, 167.073, 182.096, 167.073, 90.091, 167.073, 182.096, 90.091, 167.073, 182.096, 72.081, 167.073, 182.096, 72.081]",-2.7
CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,3.27,"[313.216, 295.206, 85.065]",-4.81
CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,3.27,"[129.069, 130.077, 137.084, 144.092, 150.092, 156.092, 165.098, 174.103, 210.15, 295.205, 313.216, 314.22]",-4.81
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,3.81,"[388.161, 390.158, 389.164, 315.072, 388.161, 317.085, 315.072, 317.07, 316.075, 315.072, 317.069, 316.075, 315.072, 225.096, 287.053]",-4.59
O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,4.33,"[265.065, 283.076, 266.067, 265.053, 245.048, 217.049, 145.02, 217.049, 168.061, 283.069, 265.058, 145.026, 283.069, 265.058, 263.063, 265.058, 283.069, 245.052, 265.058, 245.052, 217.057, 265.058, 245.052, 145.026, 145.026, 168.068, 217.057, 145.026, 140.049, 123.035, 75.023, 140.049, 113.039, 75.023, 74.015, 113.039]",-3.5
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,1.08,"[156.011, 311.081, 156.076, 156.011, 156.076, 154.06, 154.06, 140.045, 156.076, 154.061, 141.052, 140.045, 311.081, 156.077, 156.011, 245.103, 156.077, 156.011, 311.081, 156.012, 311.081, 156.077, 156.011, 156.077, 156.011, 108.044, 156.077, 108.044, 92.049, 108.044, 92.049, 156.077, 108.044, 92.049, 65.039, 311.081, 156.077, 108.044, 311.081, 156.077, 156.011, 156.077, 156.011, 108.044, 156.077, 108.044, 92.049, 108.044, 92.049, 156.077, 92.049, 108.044, 65.038, 156.077, 245.103, 156.011]",-3.05
NC1CCCCC1,1.3,"[83.085, 100.112, 55.054]",-1.1
COCCOCCOC,0.12,"[103.075, 59.049, 103.075, 59.049, 135.101, 103.075, 59.049, 135.102, 59.049, 103.075, 59.049, 103.075, 59.049, 103.075, 59.049, 103.075, 59.049, 135.102, 103.075, 59.049, 135.102, 59.049, 103.075, 59.049, 103.075, 135.102, 59.049, 103.075, 59.049, 135.101, 103.075, 59.049, 135.101]",-0.34
COCCOCCOC,0.12,[29.524],-0.34
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,3.61,"[303.232, 303.225, 285.221, 109.065, 109.061]",-4.34
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,5.93,"[72.081, 372.232, 70.065]",-5.56
CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,4.05,"[137.06, 122.036, 141.127]",-4.1
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,1.02,"[116.071, 70.065, 75.026]",-1.68
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,6.86,"[349.216, 279.138, 293.153, 349.216, 279.138, 293.154, 279.138, 349.216, 69.07, 147.044, 69.07, 251.107, 147.044, 103.054, 192.093, 103.054, 191.085, 147.044]",-6.37
CN(C)CCCN1c2ccccc2CCc2ccccc21,4.53,"[86.097, 58.065, 208.112]",-3.63
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,3.54,"[176.107, 72.081, 265.191]",-2.68
Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,3.48,"[259.135, 311.131, 294.104]",-4.9
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,-0.03,"[458.192, 441.165, 423.155, 441.165, 352.118, 423.155, 337.094, 352.118, 283.084, 283.084, 215.058, 337.094, 215.058, 283.084, 187.063, 187.063, 268.06, 131.073, 130.065, 131.073, 102.046, 130.065, 102.046, 115.054, 102.046, 115.054, 89.038]",-2.17
Oc1nc2ccccc2n1CCCN1CCC(n2c(O)nc3cc(Cl)ccc32)CC1,4.14,"[175.087, 426.169, 147.055]",-3.39
CCN(CC)CC(=O)Nc1c(C)cccc1C,1.81,"[235.18, 173.079, 217.107, 134.096, 235.18, 155.068, 134.096, 173.107, 122.096, 86.096, 58.065, 235.18, 86.096, 235.18, 86.096, 58.065, 86.097, 235.181, 58.065, 86.097, 58.065, 86.096, 58.065, 86.096, 58.065, 235.18, 86.096, 235.181, 86.096, 58.065, 86.097, 235.18, 58.065, 86.096, 58.065, 86.096, 58.065, 86.096, 58.065, 86.096, 58.065, 86.097, 58.066, 86.097, 58.066, 86.097, 58.066, 134.097, 235.181, 86.097, 86.097, 235.181, 86.097, 235.181, 58.065, 86.097, 58.065, 86.097, 58.065, 86.096, 133.008, 235.181, 86.096, 133.008, 134.096, 86.096, 235.181, 133.008, 86.096, 133.008, 179.013]",-2.6
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,2.2,"[121.064, 171.079, 190.087, 223.111, 225.126, 263.142, 292.146, 330.154, 378.183, 426.212, 435.719]",-4.07
CC(C)C[C@H](CN)CC(=O)O,-1.35,"[142.123, 160.133, 143.107, 142.123, 124.113, 125.097, 142.123, 142.123, 97.101, 83.085, 142.123, 83.085, 97.101, 55.054, 97.101, 83.085, 55.054, 55.018, 83.085, 55.054, 55.018, 83.085, 55.054, 55.018, 57.07]",-1.15
NC(=O)c1cn(Cc2c(F)cccc2F)nn1,0.95,"[127.035, 239.074, 168.062, 127.035, 167.054, 222.048, 127.035, 166.046, 148.056, 127.035, 166.046, 142.046, 127.035, 101.02, 166.046, 127.035, 101.02, 107.029]",-2.57
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,3.8,"[124.075, 126.572, 130.077, 310.216, 370.238, 371.241, 372.244]",-4.84
O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,4.01,"[374.114, 374.114, 136.039, 211.087, 374.114, 136.039, 346.119, 108.044, 120.044, 65.039, 65.039, 108.044, 120.044]",-4.04
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,4.24,"[721.326, 722.328, 296.145, 296.145, 426.188, 297.147, 296.144, 268.149, 171.095, 268.149, 197.075, 171.095, 197.075, 140.053, 268.149]",-5.76
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,4.24,"[426.184, 296.142, 268.147, 197.074, 140.053]",-5.76
CN(C(=O)CO)c1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)NC[C@H](O)CO)c1I,-2.52,"[686.798, 558.885, 759.851, 777.862, 558.885, 686.797, 404.994, 531.899, 558.886, 404.994, 331.941, 287.951, 287.951, 331.941, 404.994, 287.951, 257.941, 161.047, 287.951, 257.941, 146.024, 686.798, 777.862, 558.886, 404.994, 531.899, 558.885, 404.994, 331.941, 287.951, 287.951, 331.941, 404.994, 287.951, 257.941, 161.047, 287.951, 257.941, 146.024, 686.798, 558.885, 759.851]",-3.12
CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,-0.14,"[136.062, 75.026, 97.028]",-1.66
C/C(O)=N\c1ccc(O)cc1,1.06,"[152.072, 110.062, 65.039, 152.071, 110.06, 93.034, 152.071, 110.06, 93.034, 152.071, 110.06, 134.06, 152.071, 110.06, 152.071, 110.06, 134.06, 152.071, 110.06, 134.06, 110.06, 152.071, 92.049, 110.06, 65.039, 93.034, 110.06, 65.039, 93.034, 152.071, 110.06, 152.071, 110.06, 65.038, 152.071, 110.06, 134.06, 110.06, 152.071, 65.039, 110.06, 65.039, 93.034, 110.06, 65.039, 92.049, 152.071, 110.06, 134.06, 110.06, 152.071, 92.049, 110.06, 92.049, 93.034, 110.06, 134.06, 152.071, 110.06, 134.06, 111.044]",-2.18
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,1.2,"[300.161, 301.165, 302.167, 300.162, 301.165, 243.103, 300.162, 301.165, 215.108, 199.076, 165.071, 300.161, 165.071, 153.071, 181.066, 215.107, 243.101, 225.091, 300.159, 300.159, 243.101, 215.107, 300.159, 215.107, 243.101, 300.16, 215.107, 199.075, 165.07, 199.075, 181.065, 165.07, 153.07, 181.065, 300.159, 300.159, 243.101, 282.149, 300.159, 215.107, 243.101, 300.159, 215.107, 199.075, 165.07, 199.075, 181.065, 165.07, 153.07, 181.065, 215.107, 243.101, 225.091]",-2.72
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,1.2,"[243.101, 225.09, 215.106, 199.076, 183.079, 165.069]",-2.72
O=c1[nH]cc(F)c(=O)[nH]1,-1.21,"[84.96, 113.999, 88.019, 131.025, 131.025, 84.96, 113.999, 131.025, 113.999, 84.96, 113.998, 131.025, 84.96, 113.999, 131.025, 84.96, 113.999, 84.96, 58.009, 131.025, 84.96, 131.025, 84.96, 113.998, 131.025, 84.96, 113.999, 113.999, 131.025, 84.96, 113.999, 84.96, 131.025, 113.998, 84.96, 58.009, 84.96, 113.999, 113.023]",-0.43
O=c1[nH]cc(F)c(=O)[nH]1,-1.21,[64.506],-0.43
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-0.16,"[280.945, 268.945, 280.945, 297.971, 232.978, 280.945, 232.978, 216.983, 232.978, 216.983, 203.951, 139.99, 203.952, 142.959, 139.99, 107.99, 125.003, 139.99, 107.99, 125.002, 280.945, 297.972, 232.978, 280.945, 232.978, 216.983, 232.978, 216.983, 203.952, 139.99, 203.952, 107.99, 139.99, 107.99, 125.003, 139.99, 107.99, 125.003, 280.945, 268.945, 286.956]",-2.12
Cc1ncc([N+](=O)[O-])n1CCO,-0.15,"[128.046, 172.072, 56.036, 128.046, 172.072, 82.052, 172.072, 128.045, 82.052, 172.072, 128.046, 82.052, 128.046, 172.072, 82.052, 128.046, 82.053, 111.043, 128.045, 82.053, 111.043, 128.046, 82.052, 111.043, 172.072, 128.046, 172.072, 128.046, 82.052, 128.046, 172.072, 82.052, 128.046, 172.072, 82.053, 128.046, 82.053, 111.043, 128.045, 82.053, 111.043, 128.046, 172.072, 82.052]",-1.46
NC(=O)c1cccnc1,-0.45,"[123.056, 80.05, 96.045]",-0.39
