SMILES,frag_list,LogWS
OC(=O)c1ccccc1C(=O)Nc1cccc2ccccc21,"[144.081, 149.023, 274.086, 144.081, 149.023, 274.086, 149.023, 144.081, 256.076, 149.023, 144.081, 256.076, 149.023, 144.081, 121.028, 145.065, 65.038, 149.023]",2.301029996
COC1=NN(CSP(=S)(OC)OC)C(=O)S1,"[145.007, 85.04, 71.024, 85.04, 145.007, 71.024, 85.04, 71.024, 58.029, 85.04, 71.024, 58.029, 58.029, 85.04, 71.024, 58.029, 85.04, 71.024]",2.271841607
CNC(=O)Oc1cccc2ccccc21,"[145.065, 117.07, 155.06, 145.065, 117.07, 58.029, 145.065, 117.07, 155.06, 145.065, 117.07, 155.06, 145.065, 117.07, 155.06, 145.065, 117.07, 155.06, 145.065, 117.07, 155.06]",2.041392685
OC(=O)c1cc2ccccc2cc1,"[145.065, 155.06, 117.07, 129.07, 155.049, 145.065]",1.672097858
O=C1C=Cc2ccccc2O1,"[147.044, 103.054, 91.054]",3.278753601
COC(=O)C(C)N(c1c(C)cccc1C)C(=O)Cc1ccccc1,"[148.112, 91.054, 294.149, 294.149, 208.133, 326.175, 148.112, 208.133, 91.054, 148.112, 91.054, 121.089, 148.112, 91.054, 121.089, 91.054, 148.112, 121.089, 91.054, 148.112, 121.089, 294.15, 208.133, 266.155, 294.149, 208.133, 266.154]",1.568201724
C[C@H](NC)[C@H](O)c1ccccc1,"[148.112, 166.123, 148.112, 117.07, 148.112, 166.123, 135.081, 148.112, 117.07, 166.122, 148.112, 117.07, 133.089, 148.112, 133.089, 117.07, 133.089, 115.054, 117.07, 166.123, 148.112, 117.07, 148.112, 166.123, 135.08, 148.112, 117.07, 166.123, 148.112, 117.07, 133.089, 148.112, 133.089, 117.07, 133.089, 115.054, 117.07, 148.112, 117.07, 135.081]",4.803457116
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,"[149.022, 393.208, 373.202, 149.022, 355.191, 167.035, 149.022, 237.126, 149.022, 171.079, 147.082, 149.023, 150.027, 373.201, 355.19, 337.18, 373.201, 355.19, 337.18, 237.127, 355.19, 279.174, 147.081, 237.127, 171.081, 147.081, 121.065, 171.08, 147.081, 121.065, 119.085, 121.065, 91.054, 105.07, 373.201, 355.19, 337.18, 237.127, 355.19, 279.174, 147.08, 237.127, 171.08, 147.08, 121.065, 171.081, 121.065, 147.08, 119.085, 121.065, 91.054, 128.062, 373.201, 355.19, 337.18]",1.890700398
CC(=O)Oc1ccccc1C(O)=O,"[149.023, 163.039, 181.049, 149.023, 163.039, 181.049, 149.023, 163.039, 121.028, 149.023, 163.039, 121.028, 149.023, 121.028, 65.038, 65.038, 121.028, 95.049, 65.038, 92.025, 95.049, 65.038, 92.025, 63.023, 63.023, 51.023, 65.038]",3.662757832
CC1(C)C(C1C=C(Cl)Cl)C(=O)OCc1cccc(c1)Oc1ccccc1,"[149.023, 167.034, 71.085, 149.023, 71.085, 167.034, 149.023, 71.085, 57.07, 149.023, 71.085, 57.07, 149.023, 121.028, 65.039, 149.023, 121.028, 65.039]",-2.22184875
CCOC(=O)c1ccccc1C(=O)OCC,"[149.023, 177.055, 121.028, 177.054, 149.023, 65.038, 149.023, 177.055, 65.038, 149.023, 177.055, 121.028, 149.023, 121.028, 121.04, 149.023, 121.028, 121.04, 65.038, 149.023, 121.028, 65.039, 121.04, 121.028, 65.039, 53.002, 121.04, 65.039, 53.002, 67.989]",3.033423755
CCCCOC(=O)c1ccccc1C(=O)OCCCC,"[149.023, 205.086, 57.07, 149.024, 205.086, 57.07, 149.023, 57.07, 65.038, 149.024, 57.07, 121.028, 149.024, 121.028, 57.07, 149.024, 121.028, 65.039, 65.039, 149.024, 121.029, 65.039, 121.04, 121.028, 65.039, 53.002, 121.04, 65.039, 53.002, 53.998, 149.024, 121.029, 149.024, 121.029, 149.024, 205.087, 203.06, 149.024, 205.087, 203.06]",1.049218023
CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,"[149.024, 71.086, 167.034]",-0.568636236
CC(=O)Nc1ccc(O)cc1,"[152.072, 110.062, 65.039, 152.071, 110.06, 93.034, 152.071, 110.06, 93.034, 152.071, 110.06, 134.06, 152.071, 110.06, 152.071, 110.06, 134.06, 152.071, 110.06, 134.06, 110.06, 152.071, 92.049, 110.06, 65.039, 93.034, 110.06, 65.039, 93.034, 152.071, 110.06, 152.071, 110.06, 65.038, 152.071, 110.06, 134.06, 110.06, 152.071, 65.039, 110.06, 65.039, 93.034, 110.06, 65.039, 92.049, 152.071, 110.06, 134.06, 110.06, 152.071, 92.049, 110.06, 92.049, 93.034, 110.06, 134.06, 152.071, 110.06, 134.06, 111.044]",4.146128036
CCOP(=O)(OCC)OCC,"[155.048, 127.016, 183.08, 127.016, 155.048, 128.021, 127.016, 98.984, 127.016, 155.047, 98.984, 127.016, 155.047, 98.984, 127.016, 155.047, 98.984, 127.016, 155.047, 98.984, 127.016, 116.995, 98.984, 116.995, 127.016, 98.984, 116.995, 80.974]",5.698970004
