SMILES,frag_list,Kow
C1[C@@H](N=C2SCCN21)c1ccccc1,"[205.077, 206.08, 207.072, 205.076, 178.059, 206.079, 178.059, 205.076, 123.021, 178.059, 123.021, 130.058, 130.058, 128.054, 117.049, 178.069, 205.08, 145.076, 205.08, 205.08, 178.069, 91.054, 205.08, 178.069, 146.096, 205.08, 178.069, 146.097, 178.069, 205.079, 123.026, 178.069, 91.054, 123.026, 205.079, 205.079, 178.069, 205.079, 178.069, 146.096, 205.08, 178.069, 146.096, 178.069, 205.08, 123.026, 178.069, 91.054, 123.026, 178.069, 205.079, 145.076]",1.84
c1[n][nH]c2ccccc21,"[119.06, 92.049, 65.039]",1.77
c1[n]c(c[s]1)-c1[nH]c2ccccc2[n]1,"[202.045, 175.033, 131.061, 175.032, 131.06, 202.043, 131.06, 175.032, 143.06, 202.043, 175.032, 131.06, 202.043, 175.033, 65.039, 202.043, 175.033, 65.038, 202.043, 175.032, 131.06, 202.043, 175.032, 131.06, 175.032, 202.043, 131.06, 175.032, 131.06, 202.043, 202.043, 175.032, 158.071, 175.032, 202.043, 131.06, 202.043, 175.032, 158.071, 175.032, 158.071, 131.06]",2.47
c1[n]c2ccccc2[s]1,"[136.021, 137.024, 138.015, 136.021, 109.011, 65.039, 136.022, 136.022, 136.022, 136.022, 109.011, 136.022, 109.011, 77.039, 136.022, 109.011, 77.039, 136.022, 136.022, 136.022, 136.022, 109.011, 136.022, 109.011, 77.039, 136.022, 109.011, 65.039, 136.022, 109.011, 105.034, 136.022, 109.011, 77.039, 136.022, 105.034]",2.01
c1[n]c2ccccc2c2ccccc21,"[180.081, 152.062, 180.081]",3.48
c1[n]cc[n]1C(c1ccc(cc1)-c1ccccc1)c1ccccc1,"[243.117, 165.07, 91.054]",4.77
c1[n]cc[s]1,"[86.006, 58.995, 57.987]",0.44
c1[n]cco1,[70.029],0.12
c1[nH]c2ccccc2[n]1,"[119.06, 59.049, 92.049]",1.32
c1[nH]cc[n]1,[69.045],-0.08
C1=C(C)C(=O)NC(=O)N1C2OC(CO)C(N=N#N)C2,"[127.05, 142.061, 81.034, 127.05, 142.061, 110.024, 127.05, 110.024, 84.044, 127.05, 110.024, 84.044, 127.05, 110.024, 84.044, 110.024, 127.05, 84.044]",0.05
c1c(ccc2ccccc21)Nc1ccccc1,"[220.112, 143.073, 92.049, 220.112, 205.089, 143.073, 220.112, 143.073, 205.089]",4.38
c1c[n]c2ccccc2[n]1,"[131.06, 104.049, 71.049]",1.32
c1c2c(ccc3ccccc32)[n]c2c3ccccc3ccc21,"[280.112, 279.104, 278.096]",5.73
c1c2c(ccc3ccccc32)[n]c2ccc3ccccc3c21,"[280.112, 279.104, 278.096, 280.112, 279.104, 278.096]",5.63
c1c2ccc[n]c2c2ccc3cccc4ccc1c2c34,"[254.096, 253.089, 226.077]",5.53
c1c2ccccc2[n]c2ccccc21,"[180.081, 180.081]",3.4
c1cc(Cl)ccc1C(C#N)(CCCC)Cn2ncnc2,"[70.04, 289.122, 125.015, 220.089, 125.015, 203.062, 289.122, 70.04, 220.09, 289.122, 70.04, 125.015, 70.04, 125.015, 151.031, 125.015, 70.04, 151.031, 125.015, 70.04, 151.031, 125.015, 70.04, 116.062, 289.122, 70.04, 289.122, 70.04, 125.015, 70.04, 125.015, 151.031, 125.015, 70.04, 151.031, 125.015, 70.04, 151.031, 125.015, 70.04, 116.062, 220.089, 125.015, 203.062]",2.94
c1cc(F)ccc1C2(Cn4ncnc4)OC2c3ccccc3Cl,"[121.045, 330.08, 123.024]",3.44
c1cc[n][nH]1,[69.045],0.26
C1CC1C(O)=C2C(=O)CC(C(=O)O)CC2=O,"[157.05, 139.039, 207.065, 225.076, 69.034, 139.039, 225.076, 69.034, 111.044, 69.034, 111.044, 165.018, 69.034, 111.044, 85.028, 85.028, 69.034, 111.044, 85.028, 69.034, 99.008, 225.076, 69.034, 139.039, 225.076, 69.034, 111.044, 69.034, 111.044, 165.018, 69.034, 111.044, 85.028, 85.028, 69.034, 111.044, 85.028, 69.034, 99.008, 157.05, 139.039, 207.065]",1.8
c1cc2[n]cccc2c2ccc[n]c21,"[181.076, 111.023, 121.007]",2.05
c1ccc[n]c1-c1cccc[n]1,"[157.076, 130.065, 96.044]",1.5
c1ccc[nH]1,"[68.05, 53.002]",0.75
c1cccc[n]1,"[80.049, 96.044]",0.65
c1cccc2[n]c3ccccc3[n]c21,"[181.076, 111.023, 121.008]",2.84
c1cccc2[nH][n][n]c21,"[120.055, 121.058, 65.038, 120.055, 65.038, 92.049, 120.056, 65.039, 92.049, 120.056, 92.049, 65.039, 120.056, 92.049, 65.038, 120.056, 120.056, 65.039, 92.049, 120.056, 92.049, 65.038, 120.056, 92.049, 65.038, 120.056, 65.038, 92.049, 120.056, 65.039, 92.049, 120.056, 92.05, 120.056, 65.038, 92.05, 120.056, 65.038, 92.049, 120.055, 92.049, 65.038, 120.055, 65.038, 92.049, 120.055, 65.039, 92.049, 120.056, 92.049, 120.055, 65.038, 92.049, 65.038, 120.055, 92.049, 65.038, 39.022, 51.022, 120.056, 92.05, 120.056, 92.05, 120.056, 92.05, 65.039, 92.05, 65.039, 92.049, 120.055, 92.049, 65.038, 120.055]",1.44
c1cccc2[nH]c3ccccc3c21,"[168.081, 115.017, 168.081, 141.07, 167.073]",3.72
c1cccc2c(cccc21)Nc1ccccc1,"[220.112, 143.073, 92.049, 143.073, 220.113, 92.05, 143.073, 115.055, 128.063, 220.113, 143.074, 205.09, 143.073, 205.089, 203.086]",4.2
c1ccccc1Nc1ccccc1,"[170.096, 93.057, 92.049, 170.096, 92.049, 93.057, 170.096, 93.057, 92.049, 170.096, 93.057, 92.049, 170.096, 93.057, 92.049, 93.057, 92.049, 170.096, 93.057, 92.049, 65.039]",3.5
C1CCCCN1,"[86.096, 69.07, 67.054]",0.84
C1COCCN1,"[88.076, 70.065, 68.049]",-0.86
c4ccc3nc2ccc1ccccc1c2cc3c4,"[230.096, 229.088, 230.096, 202.078, 229.088, 230.096, 231.1, 202.078]",4.48
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,"[97.065, 315.234, 109.067, 315.234, 316.237, 297.223, 256.092, 123.081, 315.234, 256.092, 123.081, 145.102, 123.081, 131.086, 145.102, 315.234, 316.237, 317.24, 97.065, 315.232, 109.065, 97.065, 109.065, 123.08, 109.065, 97.065, 81.07, 97.065, 109.065, 79.054, 97.065, 109.065, 79.054, 109.064, 97.065, 123.08, 109.064, 97.064, 81.07, 297.221, 279.21, 97.065, 297.221, 279.21, 97.065]",3.87
CC(=O)C=Cc1ccccc1,"[147.08, 129.07, 128.062]",2.07
CC(=O)c1cc(ccc1OCC(O)CNC(C)(C)C)NC(=O)N(CC)CC,"[380.255, 307.165, 324.192, 251.103, 307.165, 306.181, 74.06, 74.096, 251.103, 74.06, 74.096, 100.076, 74.06, 74.096, 56.05, 74.06, 56.05, 74.096]",1.92
CC(=O)c1cccc(N)c1,"[136.076, 94.065, 91.054]",0.83
CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c1ccccc1,"[163.039, 251.071, 309.112, 251.07, 163.039, 183.08, 121.028, 163.039, 155.085, 163.039, 251.07, 147.081, 163.039, 251.07, 147.08]",2.7
CC(=O)CCCCN1C(=O)N(C)c2[n]c[n](C)c2C1=O,"[279.145, 181.072, 99.081]",0.29
CC(=O)N(CC(O)CO)c1c(I)c(c(I)c(c1I)C(=O)NCC(O)CO)C(=O)NCC(O)CO,"[803.877, 602.911, 652.972, 803.875, 821.885, 602.913, 374.983, 449.02, 528.874, 374.983, 301.931, 500.88, 301.931, 273.935, 257.941, 273.936, 257.941, 301.931, 803.878, 821.888, 652.971, 374.983, 449.02, 500.88, 374.983, 301.931, 500.88, 273.935, 301.931, 257.941, 273.936, 257.941, 147.031, 803.876, 652.971, 602.912]",-3.05
CC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2C2=CC=C(OC)C(=O)C=C21,"[400.168, 401.171, 358.159, 400.168, 358.158, 310.109, 282.115, 310.109, 295.087, 267.092, 283.087, 311.085]",1.3
CC(=O)N1CCN(CC1)c1ccc(cc1)OC[C@H]1CO[C@@](C[n]2c[n]cc2)(O1)c1ccc(Cl)cc1Cl,"[531.156, 531.156, 489.146, 244.005, 82.052, 255.009, 177.102, 82.052, 81.045, 112.076, 82.052, 81.045, 158.976, 81.045, 82.052, 120.044, 81.045, 82.052, 123.0, 81.045, 54.034, 65.039, 81.045, 54.034, 89.039, 531.156, 489.145, 82.053, 531.156, 489.145, 82.052, 531.156, 82.052, 489.145, 82.052, 81.045, 112.076, 82.053, 177.102, 112.076, 82.053, 158.976, 81.045, 489.146, 255.009, 244.006, 489.146, 255.009, 244.006]",4.35
