SMILES,frag_list,MP
CCOC(=O)Nc1cccc(c1)OC(=O)Nc1ccccc1,"[182.08, 136.038, 183.083, 136.038, 154.049, 182.08, 136.038, 154.049, 182.08, 136.038, 154.049, 137.041, 136.038, 137.042, 154.049, 182.081, 136.039, 154.05, 182.081, 136.039, 154.05, 136.039, 154.05, 182.081, 136.039, 154.05, 108.044, 136.039, 108.044, 154.05, 136.039, 108.044, 121.04, 108.044, 65.038, 121.04, 182.081, 136.039, 154.05, 136.039, 154.05, 182.081, 136.039, 154.05, 108.044, 136.039, 108.044, 154.05, 136.039, 108.044, 121.04, 108.044, 121.04, 65.038, 182.081, 136.039, 154.05]",120
COc1ccc(Cl)cc1C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,"[169.005, 369.067, 304.074]",169
CN(OC)C(=O)Nc1ccc(Cl)cc1,"[215.058, 126.01, 148.063, 126.01, 148.063, 215.058, 126.01, 148.063, 127.018, 126.01, 127.018, 98.999, 98.999, 126.01, 127.018, 98.999, 127.018, 126.01]",81.5
CN(C)c1cc[n]cc1,"[123.091, 108.068, 107.06]",112
OCC(O)CN1CCN(CC1)c1ccccc1,"[237.16, 118.086, 219.149, 237.16, 118.086, 160.1, 237.16, 118.086, 160.1, 120.081, 160.1, 132.081, 120.081, 160.1, 70.065, 120.081, 104.049, 70.065]",105
Cc1ccc(Cl)c(Nc2ccccc2C(O)=O)c1Cl,"[278.013, 243.044, 296.024, 278.013, 243.044, 242.037, 243.044, 278.013, 242.037, 243.044, 242.037, 278.013, 243.045, 242.037, 180.081, 180.081, 242.037, 208.076, 178.065, 179.073, 180.081, 178.065, 152.062, 169.065, 150.046, 169.065, 152.062]",257
CCN(CC)C(=O)SCc1ccccc1Cl,"[100.076, 125.015, 72.044, 258.072, 100.076, 125.015, 125.015, 258.072, 100.076, 125.015, 100.076, 72.044, 125.015, 72.044, 100.076, 125.015, 89.039, 72.044, 125.015, 89.039, 99.0, 258.072, 100.076, 125.015, 125.015, 258.072, 100.076, 125.015, 100.076, 72.044, 125.015, 72.044, 100.076, 125.015, 89.039, 72.044, 125.015, 89.039, 99.0, 100.076, 125.015, 72.044]",9
CCCCCCCCCCCC[N+](C)(C)[O-],"[230.248, 58.065, 62.06]",132.5
Oc1cccc2c1C(=O)c1ccccc1C2=O,"[197.06, 153.07, 105.034, 197.06, 153.07, 105.033]",193.8
Sc1[n]c2ccccc2[s]1,"[167.994, 135.014, 124.022, 167.994, 136.022, 92.049, 167.994, 135.014, 92.049, 167.994, 135.014, 124.022, 167.994, 135.014, 124.022, 167.994, 135.014, 124.022, 135.014, 109.011, 124.022, 65.039, 135.014, 109.011, 65.039, 108.003, 68.979, 68.979, 65.039, 108.003]",181
COP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OC,"[264.009, 142.993, 249.994]",35.5
CN1CCC[C@H]1c1c[n]ccc1,"[163.123, 132.081, 106.065, 163.123, 132.081, 106.065, 132.081, 163.123, 130.065, 132.081, 130.065, 106.065, 130.065, 117.057, 132.081, 130.065, 117.057, 132.081]",-79
OC1N=C(c2cc(Cl)ccc2NC1=O)c1ccccc1,"[241.053, 287.058, 269.048, 269.048, 241.053, 166.005, 287.058, 269.048, 104.05, 269.048, 287.058, 241.053, 241.053, 269.047, 231.068, 241.053, 104.05, 231.069, 241.053, 104.049, 163.006, 104.049, 241.053, 163.006, 287.058, 269.048, 241.053, 287.058, 269.048, 241.053, 241.053, 269.048, 231.068, 241.053, 104.049, 231.068, 241.053, 104.049, 163.006, 104.049, 241.053, 163.006, 269.048, 241.053]",205.5
Oc1ccc(Cl)cc1,"[129.01, 97.028, 85.028, 129.01, 69.034, 55.018, 129.01, 69.034, 94.041, 69.034, 129.01, 94.041, 69.034, 94.041, 65.039, 94.041, 65.039, 69.033]",42.7
CCCCN,"[57.07, 74.097, 53.002]",-50
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,"[327.078, 233.036, 152.062, 327.078, 77.039, 152.062, 327.078, 233.036, 153.07, 233.036, 153.07, 251.047, 152.062, 95.049, 153.07, 152.062, 95.049, 77.039, 152.062, 95.049, 77.038, 152.062, 77.039, 95.049, 50.015, 51.023, 152.062, 50.015, 51.023, 150.047, 251.048, 153.07, 152.062, 152.063, 77.039, 168.058, 233.037, 215.027, 229.102, 215.027, 233.037, 251.048]",50.5
COCN(C(=O)CCl)c1c(CC)cccc1CC,"[238.099, 240.095, 270.125, 162.127, 238.099, 240.095, 162.127, 147.103, 163.13, 147.103, 132.08, 162.127, 132.08, 147.103, 117.057, 238.1, 224.084, 162.128, 238.099, 270.125, 162.127, 238.099, 162.128, 224.083, 162.128, 238.099, 163.112, 162.128, 147.104, 163.112, 147.104, 162.128, 132.081, 147.104, 132.081, 162.128, 238.099, 270.126, 162.128, 238.099, 162.128, 224.084, 162.128, 238.099, 163.112, 162.128, 147.104, 163.112, 147.104, 162.128, 132.081, 132.081, 147.104, 146.096, 238.099, 162.128, 208.089]",40
Nc1[n]c[n]c2c1[n]c[n]2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,"[136.062, 268.104, 133.05, 136.062, 268.104, 133.05, 136.062, 85.028, 57.033, 136.062, 119.035, 137.046, 136.062, 119.035, 137.046, 136.062, 119.035, 137.046]",246.375
CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@@]21C,"[313.216, 295.206, 85.065]",169.5
CCN(CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc12)CC,"[388.161, 390.158, 389.164, 315.072, 388.161, 317.085, 315.072, 317.07, 316.075, 315.072, 317.069, 316.075, 315.072, 225.096, 287.053]",79.5
COc1[n]c(cc(NS(=O)(=O)c2ccc(N)cc2)[n]1)OC,"[156.011, 311.081, 156.076, 156.011, 156.076, 154.06, 154.06, 140.045, 156.076, 154.061, 141.052, 140.045, 311.081, 156.077, 156.011, 245.103, 156.077, 156.011, 311.081, 156.012, 311.081, 156.077, 156.011, 156.077, 156.011, 108.044, 156.077, 108.044, 92.049, 108.044, 92.049, 156.077, 108.044, 92.049, 65.039, 311.081, 156.077, 108.044, 311.081, 156.077, 156.011, 156.077, 156.011, 108.044, 156.077, 108.044, 92.049, 108.044, 92.049, 156.077, 92.049, 108.044, 65.038, 156.077, 245.103, 156.011]",203.5
Nc1ccc(cc1)S(=O)(=O)NC(N)=N,"[156.012, 60.056, 157.014]",191.5
CCNc1[n]c(NC(C)C)[n]c([n]1)SC,"[228.128, 186.081, 96.056, 228.128, 186.081, 96.055, 228.128, 186.081, 96.056, 186.081, 228.128, 96.056, 186.081, 96.056, 91.032, 96.056, 186.081, 68.024, 68.024, 96.056, 71.06, 186.081, 228.128, 96.056, 96.055, 116.028, 186.081, 186.081, 228.128, 96.056, 186.081, 138.103, 96.056]",88
CCNc1[n]c(Cl)[n]c(NC(C)(C)C#N)[n]1,"[214.086, 205.12, 174.054, 241.096, 214.085, 71.06, 241.097, 214.086, 205.12, 214.085, 241.097, 174.054, 214.085, 104.001, 132.032, 104.001, 68.024, 96.056, 104.001, 68.024, 71.06, 241.096, 214.085, 241.096, 214.085, 205.12, 214.085, 241.096, 174.054, 214.085, 104.001, 132.032, 104.001, 68.024, 96.056, 104.001, 68.024, 71.06, 214.085, 205.12, 174.054]",168
NC1CCCCC1,"[83.085, 100.112, 55.054]",-17.7
O=C(Nc1ccc(Cl)cc1)NC(=O)c1c(F)cccc1F,"[158.04, 311.039, 313.036, 158.04, 141.013, 159.044, 158.04, 141.014, 142.016, 141.014, 158.04, 140.031, 141.014, 158.04, 158.041, 141.014, 311.039]",239
Cc1[n]c(NC(=O)NS(=O)(=O)c2cc[s]c2C(=O)OC)[n]c([n]1)OC,"[388.038, 167.055, 389.04, 167.055, 141.076, 204.961, 167.055, 204.961, 141.076, 167.056, 204.961, 141.076, 167.055, 204.961, 125.976, 167.056, 141.077, 204.963, 167.056, 388.038, 141.077, 167.056, 204.962, 141.077, 167.056, 204.963, 141.077, 167.056, 204.963, 141.077, 125.977, 167.056, 204.962, 125.977, 97.982, 83.024, 167.056, 388.038, 141.077, 167.056, 204.962, 141.077, 167.056, 204.962, 141.077, 167.056, 204.962, 141.077, 125.977, 167.056, 204.962, 125.977, 97.982, 83.024, 167.056, 141.077, 204.963]",176
Cc1cc(ccc1)NC(=O)Oc1cc(ccc1)NC(=O)OC,"[168.065, 136.038, 169.068, 136.039, 168.065, 137.042, 136.038, 168.065, 137.042, 136.038, 137.042, 168.064, 136.039, 137.043, 168.065, 136.039, 168.065, 136.039, 136.039, 168.065, 108.044, 136.039, 108.044, 168.065, 136.039, 108.044, 93.033, 136.039, 108.044, 93.034, 65.039, 108.044, 121.04, 168.065, 136.039, 136.039, 168.065, 108.044, 136.039, 108.044, 168.065, 136.039, 108.044, 93.033, 136.039, 108.044, 121.04, 65.039, 108.044, 93.034, 168.065, 136.039]",143
Cc1ccccc1NC(C)=O,"[108.081, 150.091, 93.057]",110
Nc1[nH]c2ccccc2[n]1,"[134.072, 135.075, 134.072, 135.075, 133.063, 134.07, 133.063, 135.073, 134.07, 133.062, 117.044, 133.063, 134.071, 134.071, 134.071, 134.071, 134.071, 134.071, 92.049, 93.058, 134.071, 92.049, 107.06, 134.071, 92.049, 107.06, 134.071, 133.064, 134.071, 134.071, 92.049, 134.071, 92.049, 93.057, 134.071, 92.049, 107.06, 134.071, 92.049, 107.06, 134.071, 134.071, 92.049, 134.071, 92.049, 65.039, 65.039, 92.049, 80.049, 134.071, 92.049, 134.071, 92.049]",230
Nc1[n]c2ccccc2[s]1,"[151.032, 124.021, 109.012, 151.032, 124.022, 151.032, 124.022, 109.01, 151.032, 124.022, 109.011, 151.032, 124.022, 109.011, 151.032, 109.011, 124.022, 109.011, 151.033, 124.022, 109.011, 65.039, 80.049, 65.039, 109.011, 80.049, 65.039, 68.979, 80.049]",132
COCCOCCOC,"[103.075, 59.049, 103.075, 59.049, 135.101, 103.075, 59.049, 135.102, 59.049, 103.075, 59.049, 103.075, 59.049, 103.075, 59.049, 103.075, 59.049, 135.102, 103.075, 59.049, 135.102, 59.049, 103.075, 59.049, 103.075, 135.102, 59.049, 103.075, 59.049, 135.101, 103.075, 59.049, 135.101]",-68
